id,tenant_id,transaction_reference,date,description,amount,sender_balance_before,sender_balance_after,receiver_balance_before,receiver_balance_after,transaction_type,account_iban,beneficiary_iban
tx_001,tenant-123,REF_001,2026-07-24T10:00:00Z,Virement fournisseur externe,15000.0,50000.0,35000.0,0.0,15000.0,TRANSFER,FR7612345678901234567890123,FR7698765432109876543210987
tx_002,tenant-123,REF_002,2026-07-24T10:02:00Z,Virement fournisseur B,9500.0,20000.0,10500.0,0.0,9500.0,TRANSFER,FR7612345678901234567890123,FR7611111111111111111111111
tx_003,tenant-123,REF_003,2026-07-24T10:05:00Z,Retrait exceptionnel PARIS,6000.0,10000.0,4000.0,0.0,0.0,CASH_OUT,FR7612345678901234567890123,
tx_004,tenant-123,REF_004,2026-07-24T10:07:00Z,Virement casino en ligne,250.0,2000.0,1750.0,0.0,250.0,TRANSFER,FR7612345678901234567890123,FR7622222222222222222222222
tx_005,tenant-123,REF_005,2026-07-24T11:00:00Z,Paiement Fournisseur ABC,2500.0,8000.0,5500.0,0.0,2500.0,PAYMENT,FR7612345678901234567890123,FR7633333333333333333333333
tx_006,tenant-123,REF_006,2026-07-24T11:01:00Z,Paiement Fournisseur ABC,2500.0,5500.0,3000.0,0.0,2500.0,PAYMENT,FR7612345678901234567890123,FR7633333333333333333333333
tx_007,tenant-123,REF_007,2026-07-24T12:00:00Z,Abonnement mensuel Service X,800.0,3000.0,2200.0,0.0,800.0,PAYMENT,FR7612345678901234567890123,FR7644444444444444444444444
tx_008,tenant-123,REF_008,2026-07-24T12:01:00Z,Abonnement mensuel Service X,800.0,2200.0,1400.0,0.0,800.0,PAYMENT,FR7612345678901234567890123,FR7644444444444444444444444
tx_009,tenant-123,REF_009,2026-07-24T12:02:00Z,Abonnement mensuel Service X,800.0,1400.0,600.0,0.0,800.0,PAYMENT,FR7612345678901234567890123,FR7644444444444444444444444
tx_010,tenant-123,REF_010,2026-07-24T13:00:00Z,Virement partiel A,4000.0,20000.0,16000.0,0.0,4000.0,TRANSFER,FR7612345678901234567890123,FR7655555555555555555555555
tx_011,tenant-123,REF_011,2026-07-24T13:10:00Z,Virement partiel B,4000.0,16000.0,12000.0,0.0,4000.0,TRANSFER,FR7612345678901234567890123,FR7655555555555555555555555
tx_012,tenant-123,REF_012,2026-07-24T13:20:00Z,Virement partiel C,3000.0,12000.0,9000.0,0.0,3000.0,TRANSFER,FR7612345678901234567890123,FR7655555555555555555555555
tx_013,tenant-123,REF_013,2026-07-24T14:00:00Z,Achat fournitures de bureau,45.0,1000.0,955.0,0.0,45.0,PAYMENT,FR7612345678901234567890123,FR7666666666666666666666666
