account_iban,value_date,label,amount,currency,counterparty_iban,reference
FR761234567890,2026-07-01,VIREMENT SALAIRE,2500.00,EUR,FR769999999999,REF001
FR761234567890,2026-07-02,PAIEMENT LOYER,-900.00,EUR,FR768888888888,REF002
FR761234567890,2026-07-03,ACHAT SUPERMARCHE,-150.50,EUR,FR767777777777,REF003
FR761234567890,2026-07-04,VIREMENT AMI,-200.00,EUR,FR766666666666,REF004
FR761234567890,2026-07-05,RETRAIT DAB,-100.00,EUR,FR765555555555,REF005
FR761234567890,2026-07-06,FACTURE INTERNET,-49.99,EUR,FR764444444444,REF006
FR761234567890,2026-07-07,VIREMENT IMPORTANT,-15000.00,EUR,FR763333333333,REF007
FR761234567890,2026-07-08,ACHAT RESTAURANT,-35.00,EUR,FR762222222222,REF008
FR761234567890,2026-07-09,REMBOURSEMENT AMI,150.00,EUR,FR766666666666,REF009
FR761234567890,2026-07-10,PAIEMENT ESSENCE,-75.00,EUR,FR761111111111,REF010
FR762233344455,2026-07-01,VIREMENT ENTREPRISE,5000.00,EUR,FR769999999999,REF011
FR762233344455,2026-07-02,ACHAT MATERIEL,-2500.00,EUR,FR768888888888,REF012
FR762233344455,2026-07-03,FRACTIONNEMENT1,-500.00,EUR,FR767777777777,REF013
FR762233344455,2026-07-04,FRACTIONNEMENT2,-500.00,EUR,FR767777777777,REF014
FR762233344455,2026-07-05,FRACTIONNEMENT3,-500.00,EUR,FR767777777777,REF015
FR762233344455,2026-07-06,FRACTIONNEMENT4,-500.00,EUR,FR767777777777,REF016
FR762233344455,2026-07-07,FRACTIONNEMENT5,-500.00,EUR,FR767777777777,REF017
FR763334445566,2026-07-01,DEPART ARGENT,-10000.00,EUR,FR765555555555,REF018
FR763334445566,2026-07-02,ARRIVEE ARGENT,9500.00,EUR,FR765555555555,REF019
FR763334445566,2026-07-03,DEPART ARGENT,-8000.00,EUR,FR765555555555,REF020
FR763334445566,2026-07-04,ARRIVEE ARGENT,7500.00,EUR,FR765555555555,REF021
